ID,item_cnt_month
0,0.6411966
1,0.0
2,1.0321949
3,0.38296336
4,0.0
5,0.665478
6,1.2848945
7,0.14553931
8,0.6066789
9,0.0
10,2.7275412
11,0.3354842
12,0.12039
13,0.41471365
14,1.8339577
15,1.9720856
16,0.0
17,0.12844533
18,1.3448677
19,0.24297848
20,0.40367353
21,0.0
22,2.0514228
23,0.6609983
24,1.388222
25,0.0
26,0.0
27,0.41101757
28,1.0736473
29,4.4346247
30,0.7169681
31,0.0
32,0.757748
33,0.97712433
34,0.04702148
35,0.053775877
36,0.04534942
37,0.8689821
38,0.18495736
39,0.12979683
40,0.97638714
41,1.644924
42,5.2329793
43,4.9250526
44,1.310571
45,0.0
46,0.78906393
47,0.4024216
48,0.7352501
49,0.7796137
50,1.1783042
51,0.61421925
52,0.38835105
53,0.3217833
54,3.7818766
55,2.5836604
56,2.3783064
57,2.3933814
58,4.287323
59,3.5560353
60,4.2588787
61,0.37358558
62,0.15893617
63,0.32381886
64,0.0
65,0.0
66,0.61046875
67,0.01458028
68,0.6401051
69,0.024443
70,0.0
71,1.8884242
72,0.15100423
73,1.123733
74,0.0
75,0.0
76,0.26716062
77,0.0
78,0.60130024
79,0.83968747
80,1.4189641
81,3.013368
82,1.274622
83,0.3570127
84,0.7121294
85,0.8892338
86,0.56816685
87,0.01446116
88,3.0761945
89,1.1508691
90,0.59135836
91,0.2955288
92,1.7336787
93,0.09282294
94,0.5821293
95,0.0009884536
96,0.06357798
97,0.3721036
98,0.6397146
99,1.4487708
100,0.80261636
101,1.2567348
102,0.29421884
103,1.0351212
104,0.12667274
105,0.0
106,0.0
107,0.76127285
108,0.12541416
109,0.0
110,0.34660602
111,0.0
112,0.0
113,0.0
114,0.10272741
115,0.32170203
116,0.0
117,0.112666756
118,9.330988
119,0.11328143
120,0.0947673
121,0.14884827
122,0.39926735
123,0.44082752
124,0.47730613
125,1.077543
126,0.0
127,0.087403476
128,0.0
129,0.1728456
130,0.54027694
131,0.0
132,1.2793772
133,3.4504807
134,0.06906906
135,2.1149118
136,0.7462162
137,0.0
138,1.3429577
139,0.0
140,0.23253608
141,0.28549063
142,0.10909751
143,0.2902075
144,0.0
145,0.0
146,0.0
147,0.060708404
148,0.0
149,0.0
150,0.05437231
151,0.0
152,4.4239407
153,0.21568108
154,0.0
155,0.12545949
156,0.21666384
